Index,路名,起點,終點,速限,經度,緯度,Geohash
90,國道1號,159.5k,356.2k,110,120.253020,23.052310,wsje0kt
91,國道1號,159.5k,356.2k,110,120.253010,23.052270,wsje0kt
92,國道1號,159.5k,356.2k,110,120.252950,23.051500,wsje0km
93,國道1號,159.5k,356.2k,110,120.252940,23.051340,wsje0km
94,國道1號,159.5k,356.2k,110,120.252870,23.050700,wsje0km
95,國道1號,159.5k,356.2k,110,120.252780,23.050050,wsje0kj
96,國道1號,159.5k,356.2k,110,120.252780,23.050030,wsje0kj
97,國道1號,159.5k,356.2k,110,120.252780,23.050010,wsje0kj
98,國道1號,159.5k,356.2k,110,120.252690,23.049300,wsje07v
99,國道1號,159.5k,356.2k,110,120.252660,23.049130,wsje07v
100,國道1號,159.5k,356.2k,110,120.252660,23.049060,wsje07v
101,國道1號,159.5k,356.2k,110,120.252650,23.048990,wsje07v
102,國道1號,159.5k,356.2k,110,120.252610,23.048670,wsje07v
103,國道1號,159.5k,356.2k,110,120.252560,23.048330,wsje07v
104,國道1號,159.5k,356.2k,110,120.252430,23.047540,wsje07t
105,國道1號,159.5k,356.2k,110,120.252430,23.047530,wsje07t
106,國道1號,159.5k,356.2k,110,120.252430,23.047520,wsje07t
107,國道1號,159.5k,356.2k,110,120.252430,23.047510,wsje07t
108,國道5號,14.7k,54.3k,90,121.790360,24.829470,wsqt72j
109,國道5號,14.7k,54.3k,90,121.790100,24.828680,wsqt5ru
110,國道5號,14.7k,54.3k,90,121.789860,24.828130,wsqt5ru
111,國道5號,14.7k,54.3k,90,121.789800,24.828010,wsqt5ru
112,國道5號,14.7k,54.3k,90,121.789790,24.827970,wsqt5ru
113,國道5號,14.7k,54.3k,90,121.789760,24.827910,wsqt5ru
114,國道5號,14.7k,54.3k,90,121.789740,24.827870,wsqt5ru
115,國道5號,14.7k,54.3k,90,121.789700,24.827800,wsqt5ru
116,國道5號,14.7k,54.3k,90,121.789570,24.827520,wsqt5rs
117,國道5號,14.7k,54.3k,90,121.789340,24.827120,wsqt5rs
118,國道5號,14.7k,54.3k,90,121.789290,24.827020,wsqt5rs
119,國道5號,14.7k,54.3k,90,121.789280,24.827000,wsqt5rs
120,國道5號,14.7k,54.3k,90,121.789260,24.826980,wsqt5rs
121,國道5號,14.7k,54.3k,90,121.789250,24.826960,wsqt5rs
122,國道5號,14.7k,54.3k,90,121.789150,24.826800,wsqt5rs
123,國道5號,14.7k,54.3k,90,121.789050,24.826640,wsqt5rs
124,國道5號,14.7k,54.3k,90,121.788960,24.826480,wsqt5rs
125,國道5號,14.7k,54.3k,90,121.788850,24.826330,wsqt5r7
126,國道5號,14.7k,54.3k,90,121.788750,24.826170,wsqt5r7
127,國道5號,14.7k,54.3k,90,121.788640,24.826020,wsqt5r7
128,國道5號,14.7k,54.3k,90,121.788510,24.825840,wsqt5r7
129,國道5號,14.7k,54.3k,90,121.788430,24.825740,wsqt5r7
130,國道5號,14.7k,54.3k,90,121.788350,24.825630,wsqt5r7
131,國道5號,14.7k,54.3k,90,121.788260,24.825530,wsqt5r7
132,國道5號,14.7k,54.3k,90,121.788180,24.825430,wsqt5r7
133,國道5號,14.7k,54.3k,90,121.788090,24.825330,wsqt5r7
134,國道5號,14.7k,54.3k,90,121.788010,24.825240,wsqt5r7
135,國道5號,14.7k,54.3k,90,121.787920,24.825140,wsqt5r7
136,國道5號,14.7k,54.3k,90,121.787830,24.825040,wsqt5r7
137,國道5號,14.7k,54.3k,90,121.787740,24.824950,wsqt5r5
138,國道5號,14.7k,54.3k,90,121.787650,24.824850,wsqt5r5
139,國道5號,14.7k,54.3k,90,121.787560,24.824760,wsqt5r4
140,國道5號,14.7k,54.3k,90,121.787540,24.824740,wsqt5r4
141,國道5號,14.7k,54.3k,90,121.787510,24.824710,wsqt5r4
142,國道5號,14.7k,54.3k,90,121.787480,24.824690,wsqt5r4
143,國道5號,14.7k,54.3k,90,121.787470,24.824670,wsqt5r4
144,國道5號,14.7k,54.3k,90,121.787350,24.824550,wsqt5r4
145,國道5號,14.7k,54.3k,90,121.787160,24.824380,wsqt5r4
146,國道5號,14.7k,54.3k,90,121.786970,24.824210,wsqt5r4
147,國道5號,14.7k,54.3k,90,121.786860,24.824100,wsqt5r4
148,國道5號,14.7k,54.3k,90,121.786790,24.824040,wsqt5r4
149,國道5號,14.7k,54.3k,90,121.786770,24.824030,wsqt5r4
150,國道5號,14.7k,54.3k,90,121.786600,24.823880,wsqt5r4
151,國道5號,14.7k,54.3k,90,121.786400,24.823710,wsqt5r4
152,國道5號,14.7k,54.3k,90,121.786150,24.823500,wsqt5qc
153,國道5號,14.7k,54.3k,90,121.785960,24.823330,wsqt5qc
154,國道5號,14.7k,54.3k,90,121.785950,24.823330,wsqt5qc
155,國道5號,14.7k,54.3k,90,121.785830,24.823230,wsqt5qc
156,國道5號,14.7k,54.3k,90,121.785780,24.823190,wsqt5qc
157,國道5號,14.7k,54.3k,90,121.785740,24.823150,wsqt5qc
158,國道5號,14.7k,54.3k,90,121.785390,24.822840,wsqt5qc
159,國道5號,14.7k,54.3k,90,121.785130,24.822610,wsqt5qc
160,國道5號,14.7k,54.3k,90,121.784710,24.822200,wsqt5q8
161,國道5號,14.7k,54.3k,90,121.784360,24.821830,wsqt5q8
162,國道5號,14.7k,54.3k,90,121.784240,24.821690,wsqt5q8
163,國道5號,14.7k,54.3k,90,121.784150,24.821590,wsqt5q8
164,國道5號,14.7k,54.3k,90,121.784130,24.821550,wsqt5q8
165,國道5號,14.7k,54.3k,90,121.784100,24.821530,wsqt5q8
166,國道5號,14.7k,54.3k,90,121.784100,24.821520,wsqt5q8
167,國道5號,14.7k,54.3k,90,121.784090,24.821510,wsqt5q8
168,國道5號,14.7k,54.3k,90,121.784030,24.821440,wsqt5q8
169,國道5號,14.7k,54.3k,90,121.783750,24.821100,wsqt5q8
